Rex,Cf_SAAF,Cf_SA_interp
2.0000e-01,2.40000e+00,2.40000e+00
4.0000e-01,8.00001e-01,8.00005e-01
6.0000e-01,6.52190e-01,6.52191e-01
8.0000e-01,5.85342e-01,5.85344e-01
1.0000e+00,5.33761e-01,5.33762e-01
1.2500e+00,4.86422e-01,4.86423e-01
1.5625e+00,4.43835e-01,4.43836e-01
1.9531e+00,4.05231e-01,4.05231e-01
2.4414e+00,3.69756e-01,3.69756e-01
3.0518e+00,3.36950e-01,3.36951e-01
3.8147e+00,3.06592e-01,3.06593e-01
4.7684e+00,2.78516e-01,2.78516e-01
5.9605e+00,2.52585e-01,2.52586e-01
7.4506e+00,2.28689e-01,2.28689e-01
9.3132e+00,2.06723e-01,2.06724e-01
1.1642e+01,1.86589e-01,1.86589e-01
1.4552e+01,1.68186e-01,1.68186e-01
1.8190e+01,1.51412e-01,1.51412e-01
2.2737e+01,1.36163e-01,1.36163e-01
2.8422e+01,1.22334e-01,1.22334e-01
3.5527e+01,1.09821e-01,1.09821e-01
4.4409e+01,9.85193e-02,9.85195e-02
5.5511e+01,8.83301e-02,8.83303e-02
6.9389e+01,7.91568e-02,7.91571e-02
8.6736e+01,7.09085e-02,7.09087e-02
1.0842e+02,6.34994e-02,6.34996e-02
1.3553e+02,5.68498e-02,5.68501e-02
1.6941e+02,5.08861e-02,5.08863e-02
2.1176e+02,4.55404e-02,4.55408e-02
2.6470e+02,4.07511e-02,4.07515e-02
3.3087e+02,3.64617e-02,3.64621e-02
4.1359e+02,3.26212e-02,3.26217e-02
5.1699e+02,2.91833e-02,2.91841e-02
6.4623e+02,2.61065e-02,2.61076e-02
8.0779e+02,2.33533e-02,2.33548e-02
1.0097e+03,2.08897e-02,2.08922e-02
1.2622e+03,1.86856e-02,1.86898e-02
1.5777e+03,1.67138e-02,1.67213e-02
1.9722e+03,1.49499e-02,1.49635e-02
2.4652e+03,1.33720e-02,1.33965e-02
3.0815e+03,1.19606e-02,1.20036e-02
3.8519e+03,1.06980e-02,1.07706e-02
4.8148e+03,9.56871e-03,9.68527e-03
6.0185e+03,8.55859e-03,8.73669e-03
7.5232e+03,7.65509e-03,7.91491e-03
9.4040e+03,6.84695e-03,7.21064e-03
1.1755e+04,6.12412e-03,6.61530e-03
1.4694e+04,5.47759e-03,6.12094e-03
1.8367e+04,4.89931e-03,5.71996e-03
2.2959e+04,4.38208e-03,5.40428e-03
2.8699e+04,3.91945e-03,5.16408e-03
3.5873e+04,3.50566e-03,4.98661e-03
4.4842e+04,3.13556e-03,4.85625e-03
5.6052e+04,2.80453e-03,4.75636e-03
7.0065e+04,2.50845e-03,4.67209e-03
8.7581e+04,2.24362e-03,4.59235e-03
1.0948e+05,2.00676e-03,4.51032e-03
1.3685e+05,1.79490e-03,4.42243e-03
1.7106e+05,1.60540e-03,4.32722e-03
2.1382e+05,1.43592e-03,4.22441e-03
2.6728e+05,1.28432e-03,4.11483e-03
3.3410e+05,1.14873e-03,3.99994e-03
4.1762e+05,1.02746e-03,3.88147e-03
5.2202e+05,9.18985e-04,3.76125e-03
6.5253e+05,8.21965e-04,3.64112e-03
8.1566e+05,7.35188e-04,3.52248e-03
1.0196e+06,6.57572e-04,3.40644e-03
1.2745e+06,5.88150e-04,3.29378e-03
1.5931e+06,5.26057e-04,3.18488e-03
1.9914e+06,4.70520e-04,3.08003e-03
2.4892e+06,4.20846e-04,2.97929e-03
3.1115e+06,3.76416e-04,2.88263e-03
3.8894e+06,3.36676e-04,2.78999e-03
4.8617e+06,3.01133e-04,2.70120e-03
6.0772e+06,2.69341e-04,2.61614e-03
7.5965e+06,2.40906e-04,2.53462e-03
9.4956e+06,2.15473e-04,2.45647e-03
1.1869e+07,1.92725e-04,2.38156e-03
1.4837e+07,1.72408e-04,2.30974e-03
1.8546e+07,2.60856e-03,2.24095e-03
2.3183e+07,2.50495e-03,2.17509e-03
2.8978e+07,2.34543e-03,2.11213e-03
3.6223e+07,2.22265e-03,2.05193e-03
4.5278e+07,2.12408e-03,1.99421e-03
5.6598e+07,2.04078e-03,1.93851e-03
7.0747e+07,1.96765e-03,1.88432e-03
8.8434e+07,1.90159e-03,1.83168e-03
1.1054e+08,1.84074e-03,1.78086e-03
1.3818e+08,1.78416e-03,1.73194e-03
1.7272e+08,1.73130e-03,1.68501e-03
2.1590e+08,1.68187e-03,1.64043e-03
2.6988e+08,1.63556e-03,1.59857e-03
3.3735e+08,1.59186e-03,1.55893e-03
4.2169e+08,1.55011e-03,1.52072e-03
5.2711e+08,1.50952e-03,1.48247e-03
6.5889e+08,1.47000e-03,1.44396e-03
8.2361e+08,1.43207e-03,1.40750e-03
1.0295e+09,1.39577e-03,1.37214e-03
1.2869e+09,1.36130e-03,1.33816e-03
1.6086e+09,1.32872e-03,1.30597e-03
2.0108e+09,1.29754e-03,1.27619e-03
